#BuildingID,Date,Time,TargetTemp,ActualTemp
4,06/01/13,12:00:01 AM,66,58
17,06/02/13,01:00:01 AM,69,68
18,06/03/13,02:00:01 AM,70,73
15,06/04/13,03:00:01 AM,67,63
3,06/05/13,04:00:01 AM,68,74
4,06/06/13,05:00:01 AM,67,56
2,06/07/13,06:00:01 AM,70,58
16,06/08/13,07:00:01 AM,70,73
9,06/09/13,08:00:01 AM,66,69
12,06/10/13,09:00:01 AM,65,57
15,06/11/13,10:00:01 AM,67,70
7,06/12/13,11:00:01 AM,69,62
15,06/13/13,12:00:01 PM,69,73
6,06/14/13,01:00:01 PM,65,61
20,06/15/13,02:00:01 PM,67,59
8,06/16/13,03:00:01 PM,65,56
6,06/17/13,04:00:01 PM,67,57
13,06/18/13,05:00:01 PM,66,57
4,06/19/13,06:00:01 PM,69,58
7,06/20/13,07:00:01 PM,67,55
17,06/21/13,08:00:01 PM,69,72
9,06/22/13,09:00:01 PM,66,69
20,06/23/13,10:00:01 PM,67,65
6,06/24/13,11:00:01 PM,67,61
18,06/25/13,12:13:19 AM,70,71
8,06/26/13,01:13:19 AM,67,71
14,06/27/13,02:13:19 AM,69,68
15,06/28/13,03:13:19 AM,65,56
13,06/29/13,04:13:19 AM,66,77
5,06/30/13,05:13:19 AM,70,63
3,06/01/13,06:13:19 AM,68,66
18,06/02/13,07:13:19 AM,69,60
11,06/03/13,08:13:19 AM,66,65
9,06/04/13,09:13:19 AM,67,69
10,06/05/13,10:13:19 AM,70,78
19,06/06/13,11:13:19 AM,67,72
2,06/07/13,12:13:19 PM,67,73
10,06/08/13,01:13:19 PM,65,75
2,06/09/13,02:13:19 PM,67,68
6,06/10/13,03:13:19 PM,65,77
3,06/11/13,04:13:19 PM,66,67
2,06/12/13,05:13:19 PM,69,64
1,06/13/13,06:13:19 PM,67,68
5,06/14/13,07:13:19 PM,68,75
4,06/15/13,08:13:19 PM,69,58
9,06/16/13,09:13:19 PM,69,77
2,06/17/13,10:13:19 PM,67,73
12,06/18/13,11:13:19 PM,66,75
5,06/19/13,12:43:51 AM,70,65
2,06/20/13,01:43:51 AM,69,65
14,06/21/13,02:43:51 AM,66,56
9,06/22/13,03:43:51 AM,69,67
6,06/23/13,04:43:51 AM,70,68
20,06/24/13,05:43:51 AM,70,63
17,06/25/13,06:43:51 AM,65,63
18,06/26/13,07:43:51 AM,67,78
7,06/27/13,08:43:51 AM,68,61
2,06/28/13,09:43:51 AM,66,65
9,06/29/13,10:43:51 AM,69,59
6,06/30/13,11:43:51 AM,68,67
7,06/01/13,12:43:51 PM,69,79
12,06/02/13,01:43:51 PM,65,72
18,06/03/13,02:43:51 PM,65,57
6,06/04/13,03:43:51 PM,66,56
9,06/05/13,04:43:51 PM,65,71
10,06/06/13,05:43:51 PM,67,79
15,06/07/13,06:43:51 PM,67,72
11,06/08/13,07:43:51 PM,69,76
16,06/09/13,08:43:51 PM,65,67
14,06/10/13,09:43:51 PM,67,74
2,06/11/13,10:43:51 PM,68,76
20,06/12/13,11:43:51 PM,68,69
12,06/13/13,12:13:20 AM,67,77
1,06/14/13,01:13:20 AM,70,68
6,06/15/13,02:13:20 AM,70,57
12,06/16/13,03:13:20 AM,67,55
19,06/17/13,04:13:20 AM,70,55
19,06/18/13,05:13:20 AM,70,58
6,06/19/13,06:13:20 AM,69,75
16,06/20/13,07:13:20 AM,69,75
14,06/21/13,08:13:20 AM,69,55
3,06/22/13,09:13:20 AM,65,68
19,06/23/13,10:13:20 AM,65,63
2,06/24/13,11:13:20 AM,65,65
20,06/25/13,12:13:20 PM,68,55
9,06/26/13,01:13:20 PM,68,67
14,06/27/13,02:13:20 PM,66,75
17,06/28/13,03:13:20 PM,65,62
2,06/29/13,04:13:20 PM,70,77
12,06/30/13,05:13:20 PM,65,57
12,06/01/13,06:13:20 PM,68,65
13,06/02/13,07:13:20 PM,65,72
6,06/03/13,08:13:20 PM,66,67
15,06/04/13,09:13:20 PM,68,65
7,06/05/13,10:13:20 PM,67,73
5,06/06/13,11:13:20 PM,70,70
1,06/07/13,12:33:07 AM,68,72
9,06/08/13,01:33:07 AM,70,80
9,06/09/13,02:33:07 AM,67,76
15,06/10/13,03:33:07 AM,69,79
11,06/11/13,04:33:07 AM,66,70
6,06/12/13,05:33:07 AM,65,70
7,06/13/13,06:33:07 AM,66,78
16,06/14/13,07:33:07 AM,65,60
10,06/15/13,08:33:07 AM,68,65
13,06/16/13,09:33:07 AM,69,79
16,06/17/13,10:33:07 AM,68,65
13,06/18/13,11:33:07 AM,69,64
10,06/19/13,12:33:07 PM,69,55
3,06/20/13,01:33:07 PM,67,59
3,06/21/13,02:33:07 PM,70,64
11,06/22/13,03:33:07 PM,67,76
16,06/23/13,04:33:07 PM,70,68
17,06/24/13,05:33:07 PM,70,80
12,06/25/13,06:33:07 PM,70,66
19,06/26/13,07:33:07 PM,68,68
9,06/27/13,08:33:07 PM,65,80
14,06/28/13,09:33:07 PM,70,79
6,06/29/13,10:33:07 PM,70,64
2,06/30/13,11:33:07 PM,69,60
7,06/01/13,12:00:01 AM,69,60
16,06/02/13,01:00:01 AM,67,74
15,06/03/13,02:00:01 AM,68,80
7,06/04/13,03:00:01 AM,69,71
3,06/05/13,04:00:01 AM,70,68
11,06/06/13,05:00:01 AM,68,59
13,06/07/13,06:00:01 AM,70,63
19,06/08/13,07:00:01 AM,67,78
4,06/09/13,08:00:01 AM,66,67
17,06/10/13,09:00:01 AM,67,67
4,06/11/13,10:00:01 AM,69,60
7,06/12/13,11:00:01 AM,70,63
6,06/13/13,12:00:01 PM,70,60
2,06/14/13,01:00:01 PM,69,78
