Date,Time,TargetTemp,ActualTemp,BuildingID
6/1/13,0:00:01,66,58,4
6/2/13,1:00:01,69,68,17
6/3/13,2:00:01,70,73,18
6/4/13,3:00:01,67,63,15
6/5/13,4:00:01,68,74,3
6/6/13,5:00:01,67,56,4
6/7/13,6:00:01,70,58,2
6/8/13,7:00:01,70,73,16
6/9/13,8:00:01,66,69,9
6/10/13,9:00:01,65,57,12
6/11/13,10:00:01,67,70,15
6/12/13,11:00:01,69,62,7
6/13/13,12:00:01,69,73,15
6/14/13,13:00:01,65,61,6
6/15/13,14:00:01,67,59,20
6/16/13,15:00:01,65,56,8
6/17/13,16:00:01,67,57,6
6/18/13,17:00:01,66,57,13
6/19/13,18:00:01,69,58,4
6/20/13,19:00:01,67,55,7
6/21/13,20:00:01,69,72,17
6/22/13,21:00:01,66,69,9
6/23/13,22:00:01,67,65,20
6/24/13,23:00:01,67,61,6
6/25/13,0:13:19,70,71,18
6/26/13,1:13:19,67,71,8
6/27/13,2:13:19,69,68,14
6/28/13,3:13:19,65,56,15
6/29/13,4:13:19,66,77,13
6/30/13,5:13:19,70,63,5
6/1/13,6:13:19,68,66,3
6/2/13,7:13:19,69,60,18
6/3/13,8:13:19,66,65,11
6/4/13,9:13:19,67,69,9
6/5/13,10:13:19,70,78,10
6/6/13,11:13:19,67,72,19
6/7/13,12:13:19,67,73,2
6/8/13,13:13:19,65,75,10
6/9/13,14:13:19,67,68,2
6/10/13,15:13:19,65,77,6
6/11/13,16:13:19,66,67,3
6/12/13,17:13:19,69,64,2
6/13/13,18:13:19,67,68,1
6/14/13,19:13:19,68,75,5
6/15/13,20:13:19,69,58,4
6/16/13,21:13:19,69,77,9
6/17/13,22:13:19,67,73,2
6/18/13,23:13:19,66,75,12
6/19/13,0:43:51,70,65,5
6/20/13,1:43:51,69,65,2
6/21/13,2:43:51,66,56,14
6/22/13,3:43:51,69,67,9
6/23/13,4:43:51,70,68,6
6/24/13,5:43:51,70,63,20
6/25/13,6:43:51,65,63,17
6/26/13,7:43:51,67,78,18
6/27/13,8:43:51,68,61,7
6/28/13,9:43:51,66,65,2
6/29/13,10:43:51,69,59,9
6/30/13,11:43:51,68,67,6
6/1/13,12:43:51,69,79,7
6/2/13,13:43:51,65,72,12
6/3/13,14:43:51,65,57,18
6/4/13,15:43:51,66,56,6
6/5/13,16:43:51,65,71,9
6/6/13,17:43:51,67,79,10
6/7/13,18:43:51,67,72,15
6/8/13,19:43:51,69,76,11
6/9/13,20:43:51,65,67,16
6/10/13,21:43:51,67,74,14
6/11/13,22:43:51,68,76,2
6/12/13,23:43:51,68,69,20
6/13/13,0:13:20,67,77,12
6/14/13,1:13:20,70,68,1
6/15/13,2:13:20,70,57,6
6/16/13,3:13:20,67,55,12
6/17/13,4:13:20,70,55,19
6/18/13,5:13:20,70,58,19
6/19/13,6:13:20,69,75,6
6/20/13,7:13:20,69,75,16
6/21/13,8:13:20,69,55,14
6/22/13,9:13:20,65,68,3
6/23/13,10:13:20,65,63,19
6/24/13,11:13:20,65,65,2
6/25/13,12:13:20,68,55,20
6/26/13,13:13:20,68,67,9
6/27/13,14:13:20,66,75,14
6/28/13,15:13:20,65,62,17
6/29/13,16:13:20,70,77,2
6/30/13,17:13:20,65,57,12
6/1/13,18:13:20,68,65,12
6/2/13,19:13:20,65,72,13
6/3/13,20:13:20,66,67,6
6/4/13,21:13:20,68,65,15
6/5/13,22:13:20,67,73,7
6/6/13,23:13:20,70,70,5
6/7/13,0:33:07,68,72,1
6/8/13,1:33:07,70,80,9
6/9/13,2:33:07,67,76,9
6/10/13,3:33:07,69,79,15
6/11/13,4:33:07,66,70,11
6/12/13,5:33:07,65,70,6
6/13/13,6:33:07,66,78,7
6/14/13,7:33:07,65,60,16
6/15/13,8:33:07,68,65,10
6/16/13,9:33:07,69,79,13
6/17/13,10:33:07,68,65,16
6/18/13,11:33:07,69,64,13
6/19/13,12:33:07,69,55,10
6/20/13,13:33:07,67,59,3
6/21/13,14:33:07,70,64,3
6/22/13,15:33:07,67,76,11
6/23/13,16:33:07,70,68,16
6/24/13,17:33:07,70,80,17
6/25/13,18:33:07,70,66,12
6/26/13,19:33:07,68,68,19
6/27/13,20:33:07,65,80,9
6/28/13,21:33:07,70,79,14
6/29/13,22:33:07,70,64,6
6/30/13,23:33:07,69,60,2
6/1/13,0:00:01,69,60,7
6/2/13,1:00:01,67,74,16
6/3/13,2:00:01,68,80,15
6/4/13,3:00:01,69,71,7
6/5/13,4:00:01,70,68,3
6/6/13,5:00:01,68,59,11
6/7/13,6:00:01,70,63,13
6/8/13,7:00:01,67,78,19
6/9/13,8:00:01,66,67,4
